Name,Symbol,Price,Img,1hr%,24hr%,7d%,MarketCap,Volume(24h),Vol(24h),CirculatingSupply,Last7Days
Games for a Living,GFAL,$0.004432,https://s2.coinmarketcap.com/static/img/coins/64x64/23397.png,0.07%,0.31%,10.30%,$16.45M,"$106,761",24.08M GFAL,3.71B,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/23397.svg
KARRAT,KARRAT,$0.04827,https://s2.coinmarketcap.com/static/img/coins/64x64/30825.png,0.00%,0.39%,5.61%,$16.45M,"$653,521",13.53M KARRAT,340.76M,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/30825.svg
Namecoin,NMC,$1.11,https://s2.coinmarketcap.com/static/img/coins/64x64/3.png,0.07%,22.38%,0.19%,$16.36M,"$4,447",4.00K NMC,14.73M,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/3.svg
Balance,EPT,$0.006688,https://s2.coinmarketcap.com/static/img/coins/64x64/35671.png,0.01%,6.32%,17.51%,$16.34M,"$15,137,748",2.26B EPT,2.44B,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/35671.svg
moonpig,MOONPIG,$0.01632,https://s2.coinmarketcap.com/static/img/coins/64x64/36415.png,5.21%,0.24%,57.06%,$16.32M,"$23,059,873",1.41B MOONPIG,999.93M,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/36415.svg
TokenFi,TOKEN,$0.01631,https://s2.coinmarketcap.com/static/img/coins/64x64/28299.png,0.77%,0.17%,4.82%,$16.32M,"$4,241,110",259.89M TOKEN,1B,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/28299.svg
Perpetual Protocol,PERP,$0.2463,https://s2.coinmarketcap.com/static/img/coins/64x64/6950.png,0.54%,3.36%,4.45%,$16.26M,"$4,267,092",17.32M PERP,66M,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/6950.svg
LumiWave,LWA,$0.02110,https://s2.coinmarketcap.com/static/img/coins/64x64/6739.png,0.21%,9.16%,4.32%,$16.25M,"$3,883,105",184.00M LWA,770.07M,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/6739.svg
Contentos,COS,$0.003093,https://s2.coinmarketcap.com/static/img/coins/64x64/4036.png,0.37%,1.34%,0.30%,$16.01M,"$895,333",289.40M COS,5.17B,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/4036.svg
Boson Protocol,BOSON,$0.1105,https://s2.coinmarketcap.com/static/img/coins/64x64/8827.png,1.26%,1.40%,13.49%,$15.99M,"$2,529,084",22.86M BOSON,144.54M,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/8827.svg
Reddio,RDO,$0.008373,https://s2.coinmarketcap.com/static/img/coins/64x64/36634.png,0.91%,5.48%,3.12%,$15.91M,"$18,111,418",2.16B RDO,1.9B,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/36634.svg
NEOPIN,NPT,$0.07305,https://s2.coinmarketcap.com/static/img/coins/64x64/18966.png,0.52%,0.44%,2.45%,$15.87M,"$334,206",4.57M NPT,217.22M,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/18966.svg
UNS TOKEN,UNS,$0.1500,https://s2.coinmarketcap.com/static/img/coins/64x64/23081.png,0.01%,2.70%,0.04%,$15.85M,$3,16.93 UNS,105.6M,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/23081.svg
Streamr,DATA,$0.01385,https://s2.coinmarketcap.com/static/img/coins/64x64/2143.png,0.49%,0.26%,0.14%,$15.83M,"$1,894,659",136.79M DATA,1.14B,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/2143.svg
OctaSpace,OCTA,$0.4278,https://s2.coinmarketcap.com/static/img/coins/64x64/24261.png,1.14%,3.35%,12.51%,$15.82M,"$638,188",1.49M OCTA,36.97M,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/24261.svg
Gems,GEMS,$0.03945,https://s2.coinmarketcap.com/static/img/coins/64x64/31750.png,0.18%,0.38%,13.22%,$15.78M,"$953,398",24.16M GEMS,399.93M,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/31750.svg
EverValue Coin,EVA,$1.00,https://s2.coinmarketcap.com/static/img/coins/64x64/33342.png,0.02%,1.69%,0.36%,$15.7M,"$8,814",8.77K EVA,15.62M,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/33342.svg
ORA,ORA,$0.4262,https://s2.coinmarketcap.com/static/img/coins/64x64/34165.png,0.00%,7.99%,22.11%,$15.63M,"$4,143",9.71K ORA,36.66M,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/34165.svg
Houdini Swap,LOCK,$0.1661,https://s2.coinmarketcap.com/static/img/coins/64x64/23396.png,0.23%,0.13%,1.39%,$15.49M,$661,3.97K LOCK,93.2M,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/23396.svg
Soil,SOIL,$0.4658,https://s2.coinmarketcap.com/static/img/coins/64x64/28220.png,0.15%,15.68%,10.23%,$15.39M,"$270,413",580.53K SOIL,33.03M,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/28220.svg
SIGMA,SIGMA,$0.01700,https://s2.coinmarketcap.com/static/img/coins/64x64/32498.png,0.65%,2.94%,13.20%,$15.3M,"$3,286,200",193.24M SIGMA,899.84M,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/32498.svg
Pirate Nation,PIRATE,$0.04980,https://s2.coinmarketcap.com/static/img/coins/64x64/31704.png,0.46%,2.20%,1.79%,$15.19M,"$1,158,036",23.24M PIRATE,304.9M,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/31704.svg
crow with knife,CAW,$0.071971,https://s2.coinmarketcap.com/static/img/coins/64x64/30402.png,0.31%,2.70%,14.28%,$15.18M,"$307,445",15.59T CAW,769.86T,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/30402.svg
PeiPei (ETH),PEIPEI,$0.073608,https://s2.coinmarketcap.com/static/img/coins/64x64/31632.png,0.15%,0.69%,5.83%,$15.18M,"$1,795,236",49.75T PEIPEI,420.68T,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/31632.svg
MCOIN,MCOIN,$0.08555,https://s2.coinmarketcap.com/static/img/coins/64x64/23046.png,0.00%,1.12%,13.54%,$15.14M,"$298,209",3.48M MCOIN,177M,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/23046.svg
WHY,WHY,$0.073604,https://s2.coinmarketcap.com/static/img/coins/64x64/30867.png,1.65%,2.11%,4.44%,$15.14M,"$1,110,266",30.80T WHY,420T,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/30867.svg
SIX Token,SIX,$0.01771,https://s2.coinmarketcap.com/static/img/coins/64x64/3327.png,0.12%,1.01%,5.12%,$15.07M,"$1,514,802",85.51M SIX,850.96M,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/3327.svg
AS Roma Fan Token,ASR,$2.03,https://s2.coinmarketcap.com/static/img/coins/64x64/5229.png,0.02%,2.08%,3.27%,$15.03M,"$3,367,516",1.65M ASR,7.39M,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/5229.svg
Comtech Gold,CGO,$106.51,https://s2.coinmarketcap.com/static/img/coins/64x64/20245.png,0.03%,1.37%,0.93%,$15.02M,"$1,611,597",15.12K CGO,141K,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/20245.svg
MilkyWay,MILK,$0.06201,https://s2.coinmarketcap.com/static/img/coins/64x64/20874.png,0.17%,1.45%,2.07%,$14.82M,"$2,332,663",37.61M MILK,238.9M,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/20874.svg
HOPR,HOPR,$0.04328,https://s2.coinmarketcap.com/static/img/coins/64x64/6520.png,0.06%,0.56%,4.11%,$14.77M,"$426,428",9.85M HOPR,341.17M,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/6520.svg
Self Chain,SLF,$0.1516,https://s2.coinmarketcap.com/static/img/coins/64x64/32854.png,0.56%,0.58%,10.16%,$14.71M,"$5,564,815",36.69M SLF,97M,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/32854.svg
Boba Network,BOBA,$0.08575,https://s2.coinmarketcap.com/static/img/coins/64x64/14556.png,0.10%,2.83%,8.31%,$14.72M,"$7,723,862",90.07M BOBA,171.62M,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/14556.svg
Bitcoin Gold,BTG,$0.8400,https://s2.coinmarketcap.com/static/img/coins/64x64/2083.png,0.05%,10.40%,7.18%,$14.71M,"$6,783",8.07K BTG,17.51M,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/2083.svg
Masa,MASA,$0.01927,https://s2.coinmarketcap.com/static/img/coins/64x64/29547.png,0.24%,0.69%,11.88%,$14.68M,"$3,668,853",190.35M MASA,761.48M,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/29547.svg
Dora Factory,DORA,$0.02722,https://s2.coinmarketcap.com/static/img/coins/64x64/27966.png,0.28%,1.85%,2.21%,$14.63M,"$2,958,290",108.65M DORA,537.27M,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/27966.svg
GYEN,GYEN,$0.006954,https://s2.coinmarketcap.com/static/img/coins/64x64/8771.png,0.10%,0.68%,15.18%,$14.6M,$43,6.12K GYEN,2.09B,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/8771.svg
PumpBTC (Governance token),PUMP,$0.05100,https://s2.coinmarketcap.com/static/img/coins/64x64/36166.png,0.11%,1.20%,8.10%,$14.54M,"$1,638,822",32.13M PUMP,285M,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/36166.svg
Boop,BOOP,$0.04825,https://s2.coinmarketcap.com/static/img/coins/64x64/36393.png,0.34%,1.10%,35.70%,$14.5M,"$2,823,730",58.51M BOOP,300.45M,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/36393.svg
Vertical AI,VERTAI,$0.1446,https://s2.coinmarketcap.com/static/img/coins/64x64/34158.png,2.69%,4.86%,20.00%,$14.46M,"$539,166",3.72M VERTAI,100M,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/34158.svg
ASD,ASD,$0.02186,https://s2.coinmarketcap.com/static/img/coins/64x64/3673.png,0.15%,2.28%,2.23%,$14.44M,"$1,068,367",48.87M ASD,660.61M,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/3673.svg
Scallop,SCA,$0.1302,https://s2.coinmarketcap.com/static/img/coins/64x64/29679.png,0.77%,3.07%,7.98%,$14.43M,"$4,782,724",36.71M SCA,110.81M,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/29679.svg
KiboShib,KIBSHI,$0.00001437,https://s2.coinmarketcap.com/static/img/coins/64x64/23802.png,0.35%,6.59%,37.80%,$14.37M,"$381,350",26.53B KIBSHI,1T,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/23802.svg
Measurable Data Token,MDT,$0.02122,https://s2.coinmarketcap.com/static/img/coins/64x64/2348.png,0.53%,0.66%,18.52%,$14.35M,"$4,688,297",220.88M MDT,676.15M,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/2348.svg
Grok,GROK,$0.002268,https://s2.coinmarketcap.com/static/img/coins/64x64/28394.png,0.04%,3.48%,20.90%,$14.34M,"$8,246,183",3.63B GROK,6.32B,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/28394.svg
Aleph Cloud,ALEPH,$0.05781,https://s2.coinmarketcap.com/static/img/coins/64x64/5821.png,0.11%,0.87%,10.04%,$14.29M,"$400,945",6.93M ALEPH,247.22M,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/5821.svg
FC Barcelona Fan Token,BAR,$1.29,https://s2.coinmarketcap.com/static/img/coins/64x64/5225.png,0.12%,0.37%,3.44%,$14.26M,"$3,142,956",2.41M BAR,10.97M,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/5225.svg
Obol,OBOL,$0.1445,https://s2.coinmarketcap.com/static/img/coins/64x64/36278.png,0.15%,3.54%,24.94%,$14.27M,"$28,268,374",195.60M OBOL,98.71M,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/36278.svg
Book of Ethereum,BOOE,$0.1483,https://s2.coinmarketcap.com/static/img/coins/64x64/31171.png,0.36%,8.80%,22.26%,$14.27M,"$295,805",1.99M BOOE,96.19M,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/31171.svg
Fulcrom Finance,FUL,$0.006774,https://s2.coinmarketcap.com/static/img/coins/64x64/24190.png,0.18%,0.77%,4.30%,$14.22M,"$38,629",5.70M FUL,2.09B,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/24190.svg
Oobit,OBT,$0.01418,https://s2.coinmarketcap.com/static/img/coins/64x64/13914.png,0.70%,4.52%,9.87%,$14.19M,"$143,612",10.12M OBT,1B,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/13914.svg
Rupiah Token,IDRT,$0.00006130,https://s2.coinmarketcap.com/static/img/coins/64x64/4702.png,0.00%,0.15%,0.09%,$14.11M,na,na,230.13B,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/4702.svg
LTO Network,LTO,$0.03202,https://s2.coinmarketcap.com/static/img/coins/64x64/3714.png,0.97%,2.82%,6.99%,$14.04M,"$1,387,782",43.33M LTO,438.5M,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/3714.svg
CreatorBid,BID,$0.05198,https://s2.coinmarketcap.com/static/img/coins/64x64/35430.png,0.44%,2.20%,53.70%,$13.96M,"$1,760,573",33.86M BID,268.46M,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/35430.svg
Verasity,VRA,$0.001440,https://s2.coinmarketcap.com/static/img/coins/64x64/3816.png,0.88%,1.74%,2.24%,$13.86M,"$5,798,913",4.02B VRA,9.62B,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/3816.svg
Hacken Token,HAI,$0.01666,https://s2.coinmarketcap.com/static/img/coins/64x64/5583.png,0.98%,0.31%,1.11%,$13.89M,"$157,573",9.45M HAI,833.52M,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/5583.svg
AMO Coin,AMO,$0.0006548,https://s2.coinmarketcap.com/static/img/coins/64x64/3260.png,0.25%,2.31%,3.35%,$13.88M,"$266,694",407.26M AMO,21.2B,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/3260.svg
World of Dypians,WOD,$0.07199,https://s2.coinmarketcap.com/static/img/coins/64x64/33746.png,0.17%,0.08%,4.53%,$13.83M,"$8,413,075",116.86M WOD,192.04M,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/33746.svg
StaFi,FIS,$0.1213,https://s2.coinmarketcap.com/static/img/coins/64x64/5882.png,0.17%,1.40%,18.54%,$13.76M,"$5,738,256",47.29M FIS,113.38M,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/5882.svg
RichQUACK.com,QUACK,$0.093117,https://s2.coinmarketcap.com/static/img/coins/64x64/10641.png,0.08%,0.13%,2.34%,$13.74M,"$347,455",1.11P QUACK,44.08P,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/10641.svg
Aura Finance,AURA,$0.2091,https://s2.coinmarketcap.com/static/img/coins/64x64/21532.png,0.45%,0.69%,11.10%,$13.67M,"$11,005",52.62K AURA,65.36M,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/21532.svg
WUFFI,WUF,$0.061634,https://s2.coinmarketcap.com/static/img/coins/64x64/30683.png,0.02%,0.15%,1.51%,$13.67M,"$19,142",117.09B WUF,83.59T,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/30683.svg
LooksRare,LOOKS,$0.01364,https://s2.coinmarketcap.com/static/img/coins/64x64/17081.png,0.46%,2.38%,2.33%,$13.65M,"$3,102,865",227.37M LOOKS,999.94M,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/17081.svg
ALEX Lab,ALEX,$0.02243,https://s2.coinmarketcap.com/static/img/coins/64x64/22074.png,5.90%,19.01%,41.11%,$13.61M,"$6,395,199",285.05M ALEX,606.48M,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/22074.svg
ParaSwap,PSP,$0.01833,https://s2.coinmarketcap.com/static/img/coins/64x64/14534.png,0.06%,0.45%,2.34%,$13.66M,"$38,062",2.07M PSP,744.97M,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/14534.svg
Doge Killer,LEASH,$126.89,https://s2.coinmarketcap.com/static/img/coins/64x64/9286.png,0.42%,0.40%,1.26%,$13.5M,"$1,131,471",8.91K LEASH,106.4K,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/9286.svg
GmeStop,GME,$0.001960,https://s2.coinmarketcap.com/static/img/coins/64x64/29241.png,0.56%,4.08%,4.55%,$13.5M,"$5,088,116",2.59B GME,6.88B,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/29241.svg
BOTIFY,BOTIFY,$0.01346,https://s2.coinmarketcap.com/static/img/coins/64x64/35163.png,4.00%,9.30%,3.32%,$13.47M,"$2,031,089",150.83M BOTIFY,999.95M,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/35163.svg
Cointel,COLS,$0.03372,https://s2.coinmarketcap.com/static/img/coins/64x64/36178.png,1.00%,1.90%,2.93%,$13.49M,"$1,181,601",35.03M COLS,400M,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/36178.svg
Taraxa,TARA,$0.002490,https://s2.coinmarketcap.com/static/img/coins/64x64/8715.png,0.33%,14.46%,22.27%,$13.47M,"$398,844",160.17M TARA,5.4B,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/8715.svg
AstraAI,ASTRA,$1.49,https://s2.coinmarketcap.com/static/img/coins/64x64/29593.png,0.00%,0.34%,16.55%,$13.46M,na,na,9.03M,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/29593.svg
Pkoin,PKOIN,$0.9603,https://s2.coinmarketcap.com/static/img/coins/64x64/5925.png,0.88%,0.42%,2.69%,$13.37M,"$112,850",117.51K PKOIN,13.92M,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/5925.svg
SyncGPT,SYNC,$0.06719,https://s2.coinmarketcap.com/static/img/coins/64x64/33104.png,0.01%,0.00%,0.03%,$13.44M,na,na,200M,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/33104.svg
Voxies,VOXEL,$0.05547,https://s2.coinmarketcap.com/static/img/coins/64x64/15678.png,0.03%,0.10%,4.26%,$13.37M,"$7,622,051",137.39M VOXEL,241.04M,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/15678.svg
AdEx,ADX,$0.09033,https://s2.coinmarketcap.com/static/img/coins/64x64/1768.png,0.02%,1.16%,7.18%,$13.36M,"$6,042,633",66.88M ADX,147.9M,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/1768.svg
Cornucopias,COPI,$0.01288,https://s2.coinmarketcap.com/static/img/coins/64x64/15563.png,0.05%,0.21%,3.42%,$13.3M,"$144,135",11.18M COPI,1.03B,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/15563.svg
Kryll,KRL,$0.3306,https://s2.coinmarketcap.com/static/img/coins/64x64/2949.png,0.24%,0.40%,3.12%,$13.19M,"$150,028",453.73K KRL,39.9M,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/2949.svg
Spectral,SPEC,$0.9348,https://s2.coinmarketcap.com/static/img/coins/64x64/32925.png,0.37%,2.32%,7.61%,$13.19M,"$3,043,069",3.25M SPEC,14.1M,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/32925.svg
Suku,SUKU,$0.02989,https://s2.coinmarketcap.com/static/img/coins/64x64/6180.png,0.00%,2.45%,2.51%,$13.18M,"$210,734",7.04M SUKU,440.69M,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/6180.svg
Tranchess,CHESS,$0.06585,https://s2.coinmarketcap.com/static/img/coins/64x64/10974.png,0.67%,7.54%,14.30%,$13.16M,"$4,572,246",69.43M CHESS,199.77M,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/10974.svg
Ellipsis,EPS,$0.01815,https://s2.coinmarketcap.com/static/img/coins/64x64/8938.png,0.08%,0.20%,0.91%,$13.14M,na,na,723.7M,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/8938.svg
GameFi.org,GAFI,$1.19,https://s2.coinmarketcap.com/static/img/coins/64x64/11783.png,0.07%,2.48%,5.34%,$13.12M,"$98,097",81.85K GAFI,10.94M,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/11783.svg
Billy (Bitcoin),BDC,$0.01303,https://s2.coinmarketcap.com/static/img/coins/64x64/31668.png,0.07%,4.91%,19.20%,$13.03M,"$3,731",286.25K BDC,1B,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/31668.svg
SHPING,SHPING,$0.005713,https://s2.coinmarketcap.com/static/img/coins/64x64/3422.png,0.47%,0.99%,0.90%,$13.07M,"$185,195",32.41M SHPING,2.28B,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/3422.svg
Quiztok,QTCON,$0.001155,https://s2.coinmarketcap.com/static/img/coins/64x64/4746.png,0.07%,0.98%,3.99%,$13.01M,"$121,731",105.36M QTCON,11.26B,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/4746.svg
Komodo,KMD,$0.09540,https://s2.coinmarketcap.com/static/img/coins/64x64/1521.png,0.34%,4.58%,21.06%,$12.97M,"$5,563,137",58.30M KMD,135.95M,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/1521.svg
MemeFi,MEMEFI,$0.001292,https://s2.coinmarketcap.com/static/img/coins/64x64/33464.png,0.52%,0.81%,8.24%,$12.92M,"$5,247,305",4.06B MEMEFI,10B,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/33464.svg
BIDR,BIDR,$0.00006742,https://s2.coinmarketcap.com/static/img/coins/64x64/6855.png,0.00%,0.54%,5.76%,$12.85M,na,na,190.58B,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/6855.svg
TG Casino,TGC,$0.1588,https://s2.coinmarketcap.com/static/img/coins/64x64/28919.png,0.42%,0.22%,2.35%,$12.73M,"$64,697",407.28K TGC,80.14M,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/28919.svg
Mr Mint,MNT,$0.03637,https://s2.coinmarketcap.com/static/img/coins/64x64/32856.png,0.13%,0.03%,13.33%,$12.73M,"$119,210",3.27M MNT,349.85M,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/32856.svg
Decimal,DEL,$0.001138,https://s2.coinmarketcap.com/static/img/coins/64x64/12400.png,0.02%,1.30%,1.00%,$12.66M,"$222,991",195.90M DEL,11.12B,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/12400.svg
Blockasset,BLOCK,$0.07298,https://s2.coinmarketcap.com/static/img/coins/64x64/15752.png,0.09%,2.15%,1.93%,$12.61M,"$165,789",2.27M BLOCK,172.81M,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/15752.svg
Aerobud,AEROBUD,$0.01298,https://s2.coinmarketcap.com/static/img/coins/64x64/31854.png,1.02%,3.42%,11.40%,$12.6M,"$233,508",17.97M AEROBUD,970M,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/31854.svg
ColossusXT,COLX,$0.0009845,https://s2.coinmarketcap.com/static/img/coins/64x64/2001.png,0.00%,0.00%,0.00%,$12.54M,na,na,12.73B,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/2001.svg
Persistence One,XPRT,$0.05864,https://s2.coinmarketcap.com/static/img/coins/64x64/7281.png,0.23%,1.75%,0.12%,$12.51M,"$5,689,132",97.01M XPRT,213.36M,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/7281.svg
Equilibria Finance,EQB,$0.3695,https://s2.coinmarketcap.com/static/img/coins/64x64/26556.png,0.06%,0.44%,4.35%,$12.51M,"$2,942",7.96K EQB,33.84M,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/26556.svg
PIVX,PIVX,$0.1329,https://s2.coinmarketcap.com/static/img/coins/64x64/1169.png,0.12%,1.93%,1.28%,$12.47M,"$2,179,789",16.39M PIVX,93.75M,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/1169.svg
zKML,ZKML,$0.1289,https://s2.coinmarketcap.com/static/img/coins/64x64/29445.png,0.05%,2.91%,16.28%,$12.44M,"$34,350",266.33K ZKML,96.45M,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/29445.svg
Dolomite,DOLO,$0.03436,https://s2.coinmarketcap.com/static/img/coins/64x64/35929.png,0.43%,6.35%,4.51%,$12.43M,"$3,610,432",105.07M DOLO,361.69M,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/35929.svg
FIO Protocol,FIO,$0.01529,https://s2.coinmarketcap.com/static/img/coins/64x64/5865.png,0.32%,2.10%,2.16%,$12.42M,"$2,597,416",170.04M FIO,811.77M,https://s3.coinmarketcap.com/generated/sparklines/web/7d/2781/5865.svg
